日期,2352,600036,600104,600660,600900,600941,601006,601088,601398,601728
2024-12-24,39.8894692,36.64732488,18.52451664,56.41098678,28.64514444,110.09276805,6.62547032,38.55811806,6.24717336,6.84258027
2024-12-25,39.4053737,36.8155176,18.7533372,57.63894279,28.62592596,110.76353955,6.68341904,39.6296901,6.39459928,6.95839263
2024-12-26,39.06650685,36.89026992,18.74338848,57.24524697,28.17429168,109.6040631,6.52888912,38.91838797,6.38538516,6.97769469
2024-12-27,39.35696415,36.75945336,19.70841432,57.77954844,28.45295964,109.814877,6.5675216,38.97381411,6.37617104,6.91978851
2024-12-30,39.56996617,37.02108648,20.93210688,58.24823394,28.26077484,111.5013882,6.57717972,39.51883782,6.4038134,7.00664778
2024-12-31,39.0180973,36.7220772,20.65354272,58.4919504,28.3953042,113.2262292,6.54820536,40.16547612,6.37617104,6.96804366
2025-01-02,37.83690428,35.98389804,18.93241416,56.66407695,28.0589808,110.198175,6.3743592,39.34332171,6.2656016,6.86188233
2025-01-03,38.19513495,36.12405864,17.91764472,55.66108998,27.866796,109.3165896,6.45162416,38.86296183,6.18267452,6.76537203
2025-01-06,38.44686461,36.4884762,17.77836264,55.78294821,27.76109436,106.50893175,6.39367544,38.62278189,6.219531,6.755721
2025-01-07,38.96000584,36.3483156,18.49467048,56.22351258,27.5785188,106.58559135,6.33572672,37.9669059,6.29480832,6.755721
2025-01-08,38.61145708,36.70338912,17.79826008,57.43272117,27.866796,107.2084506,6.35504296,37.76367672,6.36067328,6.91013748
2025-01-09,38.5340018,36.441756,17.32072152,57.25462068,27.66500196,105.45486225,6.19085492,36.55353933,6.31362688,6.82327821
2025-01-10,37.94340529,36.42306792,17.53959336,56.24226,27.74187588,104.7361785,6.02666688,36.19326942,6.27598976,6.73641894
2025-01-13,38.13704349,36.50716428,16.18656744,55.9610487,27.68422044,103.873758,6.01700876,35.92537641,6.2101248,6.59165349
2025-01-14,39.2117355,37.2359994,16.9625676,57.40460004,27.71304816,103.8162633,6.07495748,36.32259708,6.21953408,6.64955967
2025-01-15,39.3085546,37.97417856,16.2164136,56.76718776,27.6746112,103.86417555,6.12324808,36.22098249,6.23835264,6.63990864
2025-01-16,38.15640731,38.30121996,16.79343936,56.9921568,27.71304816,104.72659605,6.11358996,36.6736293,6.28539904,6.70746585
2025-01-17,38.44686461,38.03958684,16.7138496,56.42036049,27.87640524,104.5445295,6.1329062,36.59049009,6.21953408,6.69781482
2025-01-20,38.26290832,37.48828848,17.00236248,55.7735745,27.83796828,103.9695825,6.12324808,35.78681106,6.18189696,6.63025761
2025-01-21,37.81754046,37.50697656,16.82328552,55.82044305,28.02054384,102.723864,6.06529936,35.29721349,6.1630784,6.45653907
2025-01-22,37.72072136,36.8622378,16.18656744,55.22052561,27.56890956,103.7970984,6.05564124,35.18636121,6.05957632,6.52409628
